setting,src,tgt,interval,unknown,unknown_name,n_src,n_tgt,n_unknown_tgt,d_novel_maha,d_drift_maha,DNR_maha,d_novel_euclid,d_drift_euclid,DNR_euclid,d_novel_energy,d_drift_energy,DNR_energy,AUROC_maha,AUROC_knn,AUROC_msp,MMD_drift,MMD_novel,MMD_ratio,PAD_drift,DNR_maha_mean,d_novel_maha_mean,d_drift_maha_mean,AUROC_maha_mean,DNR_maha_coral,d_novel_maha_coral,d_drift_maha_coral,AUROC_maha_coral,pair
Setting 1,1,6,5,6,Toluene,445,2300,467,21.51870513125919,28.696609156979928,1.3335657969165506,5.937479887401072,11.612022521879448,1.9557156810786624,6.669817325879789,13.435813112005912,2.0144199541827255,0.2713002519827432,0.17480616487404954,0.5445677684048452,0.2686818352756213,0.3672627842918179,0.7315792581426747,2.0,1.1231006755086101,15.48853129945907,17.39517996505873,0.3343578528780588,0.9664646601089387,6.712403003617218,6.487300287405134,0.4987599458418174,1->6
Setting 1,1,7,6,1,Ethanol,445,3613,649,40.2347245170826,22.531216422478252,0.5599943007665454,15.402032080488636,10.657361291536004,0.6919451430721792,15.924048751150462,10.827374481889873,0.679938541453387,0.868889956311901,0.8737474241488514,0.38023877698275554,0.18119905929015356,0.5500972153350122,0.3293946128772936,1.968,0.7148650585454807,22.721457136253726,16.242775785946648,0.8078378653757781,0.9259561687875257,5.740591788939456,5.315536379459507,0.6948747060254643,1->7
Setting 1,1,7,6,2,Ethylene,445,3613,662,52.31021908621308,22.590381276104004,0.43185407499197304,20.123287136360084,11.7752619870183,0.5851559890402785,20.748200548584983,12.554454182601617,0.605086409937262,0.7880563811130643,0.7819736460885295,0.4146881440159053,0.23189807397070927,0.4828332207446988,0.480286078105895,1.936,0.4552279000837723,37.49657535264793,17.06948725811885,0.7801262514319997,0.35376396788658826,17.55288247197194,6.20957735113174,0.7997376075087456,1->7
Setting 1,1,7,6,3,Ammonia,445,3613,360,30.17102412027725,35.26853309369012,1.1689537933181045,8.166560262357486,13.38700388531385,1.6392463234514052,8.513444432259938,14.05094413427409,1.650441750818381,0.47739693274584144,0.3428066400245927,0.4854817775045258,0.22739662260943816,0.40378791319086527,0.5631585671113211,1.888,0.8448332811625854,26.822109274535492,22.660210586107233,0.7248121392219149,0.3562361274674664,28.74438788178528,10.239789425429958,0.7542055196912252,1->7
Setting 1,1,7,6,4,Acetaldehyde,445,3613,744,14.697595934199764,28.404717130272843,1.932609744984079,6.7231444005888,12.146275938486415,1.8066361831262567,6.214288083613328,12.322963552150094,1.983004873019155,0.20378433533095716,0.3005622767664729,0.6439886701372101,0.20937906022595154,0.27836399026897385,0.7521772482986594,1.936,1.3403040300717464,13.919921178699129,18.656926454091497,0.2792007255909481,1.3299367830337483,3.963554104712017,5.271276395400909,0.25273080425909894,1->7
Setting 1,1,7,6,5,Acetone,445,3613,630,35.14186552061551,29.124101212284167,0.8287579723164924,11.213005921101239,13.072359167635543,1.165821124114032,10.063046324728337,13.635195065475065,1.3549768753393037,0.6831090465016043,0.6373470832069558,0.7563074352548036,0.19460276005830157,0.3333330311657092,0.5838088093992673,2.0,0.9322173651475997,21.567687148768247,20.105772486152482,0.6991342475083675,0.42835010237711285,17.074190139780555,7.313731094381292,0.8474413209243916,1->7
Setting 1,1,7,6,6,Toluene,445,3613,568,15.9466627657349,27.668198749962038,1.735046332666768,7.107928278225875,12.362679611080171,1.739280297601128,6.682338594504989,12.381573569265612,1.8528803044262394,0.2791444066699045,0.20259545780429705,0.5195587317005481,0.19743412601802013,0.33498829623512016,0.589376190860847,1.936,1.5596194532284422,11.899355108014268,18.55846570733228,0.28611091838386643,0.8507585161279205,7.27729745846059,6.191222787181419,0.5112589329077916,1->7
Setting 1,1,8,7,1,Ethanol,445,294,30,29.666381174662522,21.920316940067618,0.7388941984871863,12.7934370890463,9.940868563083807,0.7770287604411755,18.57681796154678,11.820948624423078,0.6363279571825453,0.9582070707070708,0.9842171717171717,0.42967171717171715,0.325549445243851,0.5924065050472236,0.5495372560399212,1.888,0.6562614551056598,24.119235020133182,15.82852427034799,0.960479797979798,0.993079045469799,7.288060587772643,7.237620251831318,0.772979797979798,1->8
Setting 1,1,8,7,2,Ethylene,445,294,30,11.555131590322688,24.859595022287007,2.1513900406903788,8.194907754586158,11.325076637463662,1.381965114997878,10.760337290040264,14.27226506692032,1.3263771090271201,0.13434343434343438,0.3391414141414142,0.720959595959596,0.27892419552752423,0.3369316168915657,0.8278362182237414,1.92,1.7588601844148355,10.585793954233099,18.61893150651988,0.5045454545454545,0.6640452744757327,16.729680493436387,11.109265275155277,0.8223484848484849,1->8
Setting 1,1,8,7,3,Ammonia,445,294,40,27.266455594365198,29.50460291424485,1.0820842779558844,7.571637962283952,11.774114472007014,1.5550287177829356,8.740940797025324,15.127462897895237,1.73064470394804,0.8461614173228347,0.663976377952756,0.44616141732283465,0.3061126325270097,0.35434697535226456,0.863878214912646,1.936,1.275012565983846,16.91901328007906,21.57195453614837,0.791240157480315,0.6501108386752472,25.225046367098592,16.399076049336465,0.7551181102362206,1->8
