setting,src,tgt,unknown,unknown_name,DNR,lo,hi,DNR_mean_knownonly,dnovel_mean_knownonly,ddrift_mean_knownonly,AUROC_mean_knownonly,DNR_coral_knownonly,dnovel_coral_knownonly,ddrift_coral_knownonly,AUROC_coral_knownonly
Setting 1,1,6,1,Ethanol,0.582126981798391,0.5711372754249425,0.5970015570199948,0.5321390708564903,29.13627798260918,15.504551893882063,0.9090167363105172,0.2484123785143191,31.009198858839532,7.703068844347838,0.9962875978753906
Setting 1,1,6,2,Ethylene,0.6304769022988657,0.609541889620037,0.6567823200875631,0.5076126522265035,34.287597374985396,17.40481824199084,0.950201065079679,0.11861827851182194,104.74647711281558,12.424846795300141,0.9932150629236801
Setting 1,1,6,3,Ammonia,0.9229747729029166,0.8989115919755126,0.9523477484090637,0.618239504026727,34.93095775702425,21.595697998881228,0.9003237858032379,0.06802252129550343,173.96531607943047,11.833559417692044,0.9870859277708592
Setting 1,1,6,4,Acetaldehyde,1.0073476151545568,0.9643891384927894,1.0509666564090199,0.9058402122288538,19.412875840640123,17.584963571457838,0.6228457765833069,0.3891453854080339,12.814504330122169,4.9867052263583105,0.938398700253572
Setting 1,1,6,5,Acetone,1.279046694747624,1.2258174019532255,1.339829670726831,0.9186626731813005,22.263296848545128,20.45245979671329,0.8261706040733943,0.1835082159576467,55.646797767003605,10.211644581978788,0.9865083910988501
Setting 1,1,6,6,Toluene,1.3335657969165506,1.2989304247553723,1.3716428085486139,0.9234814973616082,19.036198430933368,17.579577031071043,0.45452336476984523,0.1441700964076716,46.23253507690855,6.665349039208964,0.9908961450261737
Setting 1,1,7,1,Ethanol,0.5599943007665454,0.5450207102038346,0.5763587210925162,0.549346131725069,27.609450140552774,15.167144633768828,0.8758585304080398,0.22818111535544155,22.767910175136578,5.195207138075171,0.9889194213458263
Setting 1,1,7,2,Ethylene,0.43185407499197304,0.41393813893960696,0.45144321439601176,0.3425934792607298,45.24594056054471,15.500964199061187,0.878322776548684,0.08575725486361427,92.40119650761017,7.92407295860603,0.9289221432439819
Setting 1,1,7,3,Ammonia,1.1689537933181045,1.1307127695591215,1.2103704341214485,0.7831914310302397,29.31810881127445,22.961691595002314,0.7702915257710832,0.09408828458833783,129.55123050331025,12.189253044364808,0.9608933633910578
Setting 1,1,7,4,Acetaldehyde,1.932609744984079,1.873156864746185,1.9925734911549613,1.1013657484674089,17.161993183338204,18.90163146755985,0.388561261089061,0.6977649532882075,7.313631508125631,5.103195747634444,0.5950206508580788
Setting 1,1,7,5,Acetone,0.8287579723164924,0.8023110135454474,0.858333257170355,0.7784267495207066,25.66516058890214,19.978447533146035,0.7678782944622703,0.11232224150284284,73.01138505188729,8.200802424255134,0.982987191971436
Setting 1,1,7,6,Toluene,1.735046332666768,1.6693874084524667,1.8048339585595032,1.3481299217309983,13.821131607006537,18.632681071587548,0.3432763246143528,0.24242057693236135,26.2167402518599,6.3554772971417375,0.9385086380351073
Setting 1,1,8,1,Ethanol,0.7388941984871863,0.5282973496800929,1.3339113853898503,0.5910905068990633,26.756058223447845,15.815252017918638,0.9623737373737374,0.1945720715126699,36.4197098966947,7.086258398490372,0.9962121212121212
Setting 1,1,8,2,Ethylene,2.1513900406903788,1.5917031688349328,3.569489177487644,1.642075562962988,11.362856410208412,18.658668836660574,0.5680555555555555,0.30083946371915676,37.41182939860829,11.254954693029902,0.9959595959595959
Setting 1,1,8,3,Ammonia,1.0820842779558844,0.8068729743578564,1.7875051505119954,1.138969707085597,18.969538899747636,21.605730164194405,0.8292322834645669,0.04678225264234555,354.86279446383566,16.6012809039759,0.9393700787401575
