src,tgt,unknown,unknown_name,DNR,lo,hi,n_boot
7,8,6,Toluene,0.28136542858343166,0.11149936748678055,0.6908704705912339,400
8,9,1,Ethanol,0.6533301050730543,0.5354090626638115,0.8473329090562699,400
8,9,2,Ethylene,2.354949684029405,1.9132489811090392,2.908558725933688,400
8,9,3,Ammonia,1.2355316737752229,0.838281120588411,1.6594046667689544,400
8,9,4,Acetaldehyde,0.687655864137213,0.5977789466302372,0.8650811560105943,400
8,9,5,Acetone,0.3113767072790783,0.26178009779963995,0.3743825281523959,400
8,9,6,Toluene,1.3439373622856974,1.2399996571262346,1.7882358047625475,400
9,10,1,Ethanol,2.0547405503027005,1.867766630911179,2.2325909015329,400
9,10,2,Ethylene,0.9229050392540823,0.8210572522847924,1.0190801851187,400
9,10,3,Ammonia,0.5416468923002997,0.49712080286259447,0.5988460935848837,400
9,10,4,Acetaldehyde,3.6420603274226764,3.320057949306607,4.018229595033475,400
9,10,5,Acetone,0.19212382544372433,0.17112863229681158,0.21265267610479888,400
9,10,6,Toluene,2.8357679063965473,2.5523411636864566,3.1228413975253546,400
